8013,ZRKKWS  CTGQLE,697,WQDZ
9245,IYADBP  ISYEGE,234,EDTG
9345,IMUISI  NXZFRV,407,PDCI
9941,WOWIKJ  SPORRB,236,GRSY
9920,EALLMA  TGCZEB,481,FYOX
8254,FHADZY  ECPKJR,568,CIEQ
9310,NZYAAU  PLOOXK,412,PQUQ
9405,YXBTMH  UHDOVY,828,KDEC
8392,CGGUEZ  GRSCNT,226,IUJS
8587,KKQBCW  VZFIKC,367,JCUW
8761,QSODTA  LKZCAH,713,NYVZ
9416,FGUQYZ  OGQTVJ,987,QWSO
8868,ASDRUV  SCIYLG,424,IHBB
9928,EVIEEC  QLBAJX,487,OTMJ
9956,HUAAAB  EZPMLP,904,VWVZ
9845,VAELCO  JUKYZM,415,IBLT
8710,VJZUWG  AMXFQZ,221,UZLY
9729,TKYTWT  ENVIHU,999,SVYK
9006,MTFUWO  OMCBZB,607,ATCU
8911,XWKFFB  LISWRD,846,QMLR
9161,BPTQUC  FSBDYZ,479,EJJR
8761,QSODTA  LKZCAH,474,LFQJ
9416,FGUQYZ  OGQTVJ,463,VDMM
8868,ASDRUV  SCIYLG,538,DGNK
9928,EVIEEC  QLBAJX,462,OSVZ
9956,HUAAAB  EZPMLP,927,JASY
9845,VAELCO  JUKYZM,611,ZKSG
8710,VJZUWG  AMXFQZ,232,HNOL
9361,XQKBDO  FVKPLS,341,VBSP
9141,OTUMJB  XQFAFR,382,SZJK
9320,YGFQTE  WSPNGV,696,OUKO
8240,FDLJBD  SJGMNT,616,ZLKQ
8043,WLETHL  WRVXKJ,315,QKMS
8937,VUGJUG  SURXYS,583,VGRF
9184,ZOJJQA  CVORXS,708,MQWE
9345,IMUISI  NXZFRV,777,UYLY
9722,QDEIZY  LFPYSP,466,JGJY
8978,QELJWN  HRKUYV,879,ENRF
8763,XCAVIZ  UFMFEI,263,VTGQ
9112,YMDWWC  YCVXAZ,603,YXRY
8231,WUSBHS  ZSXWNT,359,NGMM
8121,RFTYKU  AQYNXE,365,QTDB
9036,SOAXQP  QTADVV,421,QPLV
9051,MVPVCG  DPNYHL,230,BKVC
9345,IMUISI  NXZFRV,325,UMET
9248,RKPTUJ  ZRKOWS,315,IEAE
8479,MLHLVH  QEGAHN,204,OXAL
8466,VEEJAT  UESVRE,478,NCFF
9365,LMKLWB  BSNHXA,253,WPPS
8966,GMDHCI  ZSEKDC,963,NJBK
